Work Item ID,Issue Type,Summary,Related Stories,Commit Hash,Commit Date,Commit Message,Epic,Sprint,Story Points,Labels,Components
354,Task,Make related contacts clickable in relationship modals,140,ea7c935,2025-08-15,Make related contacts clickable in relationship modals,4,Sprint 4,2,contact-relationships ui-improvement,Contacts
355,Task,Fix JavaScript variable conflicts by creating shared configuration,306,37e51f0,2025-08-15,Fix JavaScript variable conflicts by creating shared configuration,10,Sprint 4,3,security javascript configuration,Security
356,Task,Fix YouTube URL submission - improve error handling and authentication,60,73e5ada,2025-08-15,Fix YouTube URL submission - improve error handling and authentication,3,Sprint 4,5,youtube error-handling authentication,AI Analysis
357,Task,Fix file statistics not updating - add null handling and dynamic refresh,201,8a496cd,2025-08-15,Fix file statistics not updating - add null handling and dynamic refresh,6,Sprint 4,3,file-statistics error-handling,File Management
358,Task,Complete audit and fix of AI usage and storage tracking system,227,6fd6c7c,2025-08-15,Complete audit and fix of AI usage and storage tracking system,7,Sprint 4,8,ai-usage tracking audit,Administration
359,Task,Fix AI usage tracking for OpenAI API calls,312,0154713,2025-08-15,Fix AI usage tracking for OpenAI API calls,11,Sprint 4,5,openai api-tracking usage,Integration
360,Task,Standardize Google Cloud Storage bucket configuration,197,abd9f3d,2025-08-15,Standardize Google Cloud Storage bucket configuration,6,Sprint 4,3,google-cloud storage configuration,File Management
361,Task,Configure WebAuthn to use ALLOWED_ORIGINS for production domains,22,0a4b731,2025-08-15,Configure WebAuthn to use ALLOWED_ORIGINS for production domains,1,Sprint 4,5,webauthn security authentication,Authentication
362,Task,Update passport libraries to specific versions and rebuild Docker container,15,e48acba,2025-08-15,Updated passport libraries to specific versions and rebuilt Docker container,1,Sprint 4,3,passport oauth libraries,Authentication
363,Task,Fix nginx Origin header forwarding for WebAuthn passkey authentication,22,5c2ed77,2025-08-15,Fix nginx Origin header forwarding for WebAuthn passkey authentication,1,Sprint 4,5,nginx webauthn headers,Authentication
364,Task,Fix WebAuthn origin mismatch for HTTPS - passkey login now works,22,abaa69d,2025-08-15,Fix WebAuthn origin mismatch for HTTPS - passkey login now works on https://localhost,1,Sprint 4,5,webauthn https authentication,Authentication
365,Task,Comment out port 3001 exposure - multimedia analyzer service not used,88,f22ea8b,2025-08-15,Comment out port 3001 exposure - multimedia analyzer service not currently used,3,Sprint 4,2,multimedia analyzer docker,AI Analysis
366,Task,Add comprehensive file type detection documentation,187,68453f2,2025-08-15,Add comprehensive file type detection documentation,6,Sprint 4,3,file-types documentation,File Management
367,Task,Fix action buttons being cut off in admin user list table,202,37a2057,2025-08-15,Fix action buttons being cut off in admin user list table,7,Sprint 4,2,admin-ui buttons layout,Administration
368,Task,Remove duplicate navbar from dashboard.ejs - fixes double navbar issue,346,6886f12,2025-08-14,Remove duplicate navbar from dashboard.ejs - fixes double navbar issue,13,Sprint 4,2,navbar ui-fix dashboard,Analytics
